epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.81,0.99495,1.20455,1.3877,0.85115,0.77694,0.88469,0.44946,1.55242,1.44741,1.83786,0.000652482,0.000652482,0.000652482
2,783.134,1.00907,0.84515,1.34162,0.54936,0.83696,0.7728,0.33692,1.80126,4.59053,3.05255,0.00129303,0.00129303,0.00129303
3,1174.69,1.07843,0.83227,1.3881,0.66021,0.58696,0.59947,0.20208,2.3148,2.17073,3.04118,0.00190718,0.00190718,0.00190718
4,1549.69,1.10336,0.83885,1.38446,0.29737,0.61413,0.29016,0.0921,2.40948,2.37828,2.92101,0.0018812,0.0018812,0.0018812
5,1916.51,1.02745,0.77237,1.34243,0.79674,0.80435,0.82859,0.45198,1.34685,1.08016,1.72372,0.0018416,0.0018416,0.0018416
6,2284.67,0.97277,0.72531,1.3086,0.84508,0.83013,0.89553,0.49971,1.44951,1.32821,2.21204,0.001802,0.001802,0.001802
7,2636.25,0.99005,0.72761,1.3631,0.84935,0.85792,0.88765,0.46606,1.47341,0.90249,1.99001,0.0017624,0.0017624,0.0017624
8,2941.48,0.9495,0.69709,1.30194,0.91025,0.93707,0.97453,0.68242,1.0599,0.72264,1.49644,0.0017228,0.0017228,0.0017228
9,3197.23,0.89657,0.63804,1.2549,0.96171,0.95565,0.98862,0.74171,0.96293,0.69808,1.30296,0.0016832,0.0016832,0.0016832
10,3523.97,0.85753,0.62522,1.25075,0.87208,0.94022,0.95816,0.70798,1.0208,0.76053,1.36918,0.0016436,0.0016436,0.0016436
11,3901.22,0.84605,0.57091,1.21544,0.95202,0.94022,0.97978,0.75759,0.86122,0.57904,1.23785,0.001604,0.001604,0.001604
12,4271.07,0.84112,0.5768,1.26581,0.94089,0.9516,0.98469,0.75267,0.89801,0.59498,1.25559,0.0015644,0.0015644,0.0015644
13,4650.81,0.80787,0.57372,1.2125,0.91519,0.9383,0.97262,0.6998,1.10232,0.79783,1.42202,0.0015248,0.0015248,0.0015248
14,4966.93,0.79881,0.54602,1.20717,0.92157,0.97283,0.97241,0.76027,0.85667,0.60653,1.19815,0.0014852,0.0014852,0.0014852
15,5222.29,0.7767,0.54363,1.18447,0.9658,0.97283,0.98861,0.76875,0.92757,0.52241,1.23863,0.0014456,0.0014456,0.0014456
16,5480.99,0.77951,0.51625,1.18725,0.94168,0.96196,0.98046,0.76828,0.87308,0.60876,1.23762,0.001406,0.001406,0.001406
17,5735.24,0.7428,0.52233,1.17691,0.92398,0.96196,0.9725,0.76643,0.82647,0.57638,1.14818,0.0013664,0.0013664,0.0013664
18,5989.2,0.72287,0.49536,1.16957,0.92644,0.95833,0.97319,0.74629,0.93306,0.59428,1.28117,0.0013268,0.0013268,0.0013268
19,6247.9,0.72594,0.54657,1.17328,0.94806,0.96739,0.98096,0.76855,0.82409,0.48773,1.15833,0.0012872,0.0012872,0.0012872
20,6504.41,0.75235,0.52686,1.19446,0.97295,0.96196,0.98215,0.79703,0.76873,0.51636,1.11712,0.0012476,0.0012476,0.0012476
21,6771.56,0.73229,0.49888,1.17433,0.97165,0.97826,0.9849,0.78528,0.85286,0.54171,1.18744,0.001208,0.001208,0.001208
22,7025.31,0.70352,0.4902,1.16127,0.95398,0.95109,0.97845,0.75349,0.90508,0.55217,1.2296,0.0011684,0.0011684,0.0011684
23,7281.13,0.76809,0.48487,1.19564,0.97282,0.97258,0.99025,0.81061,0.76989,0.43712,1.11438,0.0011288,0.0011288,0.0011288
24,7668.18,0.68113,0.46095,1.1449,0.9595,0.95109,0.97126,0.79007,0.79123,0.52171,1.14109,0.0010892,0.0010892,0.0010892
25,8010.59,0.66616,0.44209,1.1295,0.97407,0.97826,0.98677,0.82642,0.73443,0.4649,1.09934,0.0010496,0.0010496,0.0010496
26,8379.5,0.67388,0.48322,1.13422,0.97528,0.96739,0.9845,0.81324,0.72367,0.47306,1.08444,0.00101,0.00101,0.00101
27,8754.43,0.66645,0.44971,1.14462,0.97464,0.97283,0.99292,0.82882,0.72773,0.44653,1.08758,0.0009704,0.0009704,0.0009704
